Difficulty,Encounter ID,Fight ID,Killed,Report ID,Duration (ms),iLvl
5,3012,1,FALSE,z3mkxyWQTwZj7ngp,21889,644
5,3012,3,FALSE,z3mkxyWQTwZj7ngp,55786,644
5,3012,5,FALSE,z3mkxyWQTwZj7ngp,55762,644
5,3012,7,FALSE,z3mkxyWQTwZj7ngp,55816,644
5,3012,9,FALSE,z3mkxyWQTwZj7ngp,58023,644
5,3012,11,FALSE,z3mkxyWQTwZj7ngp,56216,644
5,3012,12,FALSE,z3mkxyWQTwZj7ngp,56956,644
5,3012,14,FALSE,z3mkxyWQTwZj7ngp,87177,644
5,3012,16,FALSE,z3mkxyWQTwZj7ngp,68983,644
5,3012,18,FALSE,z3mkxyWQTwZj7ngp,58256,644
5,3012,20,FALSE,z3mkxyWQTwZj7ngp,52398,644
5,3012,22,FALSE,z3mkxyWQTwZj7ngp,58419,644
5,3012,24,FALSE,z3mkxyWQTwZj7ngp,60741,644
5,3012,26,FALSE,z3mkxyWQTwZj7ngp,63935,644
5,3012,27,FALSE,z3mkxyWQTwZj7ngp,59626,644
5,3012,29,FALSE,z3mkxyWQTwZj7ngp,52359,644
5,3012,31,FALSE,z3mkxyWQTwZj7ngp,54751,644
5,3012,33,FALSE,z3mkxyWQTwZj7ngp,60681,644
5,3012,35,FALSE,z3mkxyWQTwZj7ngp,56925,644
5,3012,37,FALSE,z3mkxyWQTwZj7ngp,59487,644
5,3012,39,FALSE,z3mkxyWQTwZj7ngp,125313,644
5,3012,41,FALSE,z3mkxyWQTwZj7ngp,55820,644
5,3012,43,FALSE,z3mkxyWQTwZj7ngp,63309,644
5,3012,45,FALSE,z3mkxyWQTwZj7ngp,55545,644
5,3012,47,FALSE,z3mkxyWQTwZj7ngp,55941,644
5,3012,49,FALSE,z3mkxyWQTwZj7ngp,56863,644
5,3012,51,FALSE,z3mkxyWQTwZj7ngp,55796,644
5,3012,53,FALSE,z3mkxyWQTwZj7ngp,61574,644
5,3012,55,FALSE,z3mkxyWQTwZj7ngp,62906,644
5,3012,57,FALSE,z3mkxyWQTwZj7ngp,74068,644
